commit_hash,message,parents,is_merge,modified_files,Rectifier_Needed,LLM_Prediction,Rectified_Message
c0a83159604527b609121ccde934c9fd3892e92d,Update README,['c953ca4a9df3a3321166803752608b70e2f2632a'],False,['README.rst'],Yes,Yes,Update applied: Update README
d656943991c6e96b7eef8be638d5a26c3a473f5e,0.2 release,['c0a83159604527b609121ccde934c9fd3892e92d'],False,['memory_profiler.py'],No,No,0.2 release
992bb0a8c911e1e35b51f319d132fee6bc2a35c0,Update README,['d656943991c6e96b7eef8be638d5a26c3a473f5e'],False,['README.rst'],Yes,Yes,Update applied: Update README
ec9ee7032b01cf9350628a57f9c5111a48093366,Fix typos in README and make a new release,['992bb0a8c911e1e35b51f319d132fee6bc2a35c0'],False,"['README.rst', 'memory_profiler.py']",Yes,Yes,Bug fix: Fix typos in README and make a new release
5b1ed01abecc4b89551f68823043b458c7ffd83e,Works on linux and 2.6,['ec9ee7032b01cf9350628a57f9c5111a48093366'],False,"['README.rst', 'memory_profiler.py']",No,No,Works on linux and 2.6
5a41519ecc470e3cbcd2816e1000c250fa192d7c,new release,['5b1ed01abecc4b89551f68823043b458c7ffd83e'],False,['memory_profiler.py'],No,No,new release
ea5d79bd10b52b61ad28ac06d7c40fdae2dbc05d,comments,['5a41519ecc470e3cbcd2816e1000c250fa192d7c'],False,['memory_profiler.py'],No,No,comments
4214cfc13d033c43044eb4c9293258609fc6934f,FIX: README.rst was not included in source distribution,['ea5d79bd10b52b61ad28ac06d7c40fdae2dbc05d'],False,"['MANIFEST', 'memory_profiler.py']",Yes,Yes,Bug fix: FIX: README.rst was not included in source distribution
d56c6c6d1b0f2b2fadee17b765438f991417a7c6,Print the memory of current line (move line events one line up),['4214cfc13d033c43044eb4c9293258609fc6934f'],False,"['memory_profiler.py', 'setup.py']",No,No,Print the memory of current line (move line events one line up)
7a9ec119e190866b5c61a8c810a2155774d05572,0.7,['d56c6c6d1b0f2b2fadee17b765438f991417a7c6'],False,['memory_profiler.py'],No,No,0.7
303cab8df4b2274c5086cde80fc53ab49e5e80f4,Explicit error for non-Unix,['7a9ec119e190866b5c61a8c810a2155774d05572'],False,['memory_profiler.py'],No,No,Explicit error for non-Unix
ffe1fd28d66fca10b0f4aa0fd412e2ef496a0fbc,FIX: line display,['303cab8df4b2274c5086cde80fc53ab49e5e80f4'],False,['memory_profiler.py'],Yes,Yes,Bug fix: FIX: line display
7b12f7bc176100919cbb6654c5e698490f0df94c,0.8,['ffe1fd28d66fca10b0f4aa0fd412e2ef496a0fbc'],False,['memory_profiler.py'],No,No,0.8
da139fdfa0548fab7a015d5d79701c84d2c43c95,Update README,['7b12f7bc176100919cbb6654c5e698490f0df94c'],False,['README.rst'],Yes,Yes,Update applied: Update README
b7150348b0cb1afc380a4bf581a07d959fba7511,Python3 compat (not yet there),['da139fdfa0548fab7a015d5d79701c84d2c43c95'],False,['memory_profiler.py'],No,No,Python3 compat (not yet there)
dd81553bc47b5e73377838872af474946eb96ec2,cosmetic,['b7150348b0cb1afc380a4bf581a07d959fba7511'],False,['memory_profiler.py'],No,No,cosmetic
75ca170cd5b5bc62508c4da6a9dd44457fd203dc,"Added windows and other platforms support by using the psutil module, falling back to the original subprocess method if psutil is not installed.",['dd81553bc47b5e73377838872af474946eb96ec2'],False,['memory_profiler.py'],No,No,"Added windows and other platforms support by using the psutil module, falling back to the original subprocess method if psutil is not installed."
da9817994b29e5f7a0c204236a401908d1318c70,Fixed windows support,['75ca170cd5b5bc62508c4da6a9dd44457fd203dc'],False,['memory_profiler.py'],Yes,Yes,Bug fix: Fixed windows support
88865641c960ca0a578fbaf75a6706484e7b6489,cosmetic changes.,['da9817994b29e5f7a0c204236a401908d1318c70'],False,['memory_profiler.py'],Yes,Yes,Refactor/Change: cosmetic changes.
7321a6f4a337140db27a4e395da913ec09369200,Added AUTHORS section to README,['88865641c960ca0a578fbaf75a6706484e7b6489'],False,['README.rst'],No,No,Added AUTHORS section to README
6d2c37f0e766e1828e449e903f3dacbf658006df,cosmetic,['7321a6f4a337140db27a4e395da913ec09369200'],False,['README.rst'],No,No,cosmetic
697bed0a9516721a2f06e6dea09123b7e0b2c8c5,Remove unused file,['6d2c37f0e766e1828e449e903f3dacbf658006df'],False,['test.py'],No,No,Remove unused file
5fc0ecb048233d5ee751e74a67bb18e5fe85c868,Use -l -v by default,['697bed0a9516721a2f06e6dea09123b7e0b2c8c5'],False,"['README.rst', 'memory_profiler.py']",No,No,Use -l -v by default
ddd3033e4b9ec58dae49d3c7914e9d60a898442c,0.9 release,['5fc0ecb048233d5ee751e74a67bb18e5fe85c868'],False,['memory_profiler.py'],No,No,0.9 release
a60ed7245a14aee34f430268754186bb6c15b488,-l -v are now on by default,['ddd3033e4b9ec58dae49d3c7914e9d60a898442c'],False,['README.rst'],No,No,-l -v are now on by default
bd3bf41f0d2f4f8a1d47637a871815ab79f19192,Add FAQ,['a60ed7245a14aee34f430268754186bb6c15b488'],False,['README.rst'],No,No,Add FAQ
7491a9a99fe2803032ddb286193382e613d74d5c,Add increment to output,['bd3bf41f0d2f4f8a1d47637a871815ab79f19192'],False,['memory_profiler.py'],No,No,Add increment to output
e837f2c6e5e7dfa8a78d9c00be11ab5749550b2a,Update README and make the example non-numpy,['7491a9a99fe2803032ddb286193382e613d74d5c'],False,"['README.rst', 'examples/example.py']",Yes,Yes,Update applied: Update README and make the example non-numpy
e8bc912f069ea423639d4972b8ccd310af50a320,README formatting,['e837f2c6e5e7dfa8a78d9c00be11ab5749550b2a'],False,['README.rst'],No,No,README formatting
5b9a1019411cc20c77b1b78b352e123e30c78a85,0.10 release,['e8bc912f069ea423639d4972b8ccd310af50a320'],False,['memory_profiler.py'],No,No,0.10 release
1db78b113a9fc2b3b3901e2614204c9db9bdd770,Stupid MANIFEST.in,['5b9a1019411cc20c77b1b78b352e123e30c78a85'],False,"['MANIFEST', 'MANIFEST.in']",No,No,Stupid MANIFEST.in
f489d396a0629800a0e49566cf5ac334b4dab736,0.11 release,['1db78b113a9fc2b3b3901e2614204c9db9bdd770'],False,['memory_profiler.py'],No,No,0.11 release
b6b93a5d7ef88da3938d02ad37e2c1fc94760e5e,"Change the command line parser to argparse

According to the docs, optparse is deprecated
(http://docs.python.org/py3k/library/optparse.html), so that leaves us
with argparse.

Rundown of what was done:
+ removed arguments:
    * -o since output can just be redirected
    * -l and -v they're not necessary
+ made the filename a positional argument
+ made the necessary changes to accomodate for the above",['f489d396a0629800a0e49566cf5ac334b4dab736'],False,['memory_profiler.py'],Yes,Yes,"Refactor/Change: Change the command line parser to argparse

According to the docs, optparse is deprecated
(http://docs.python.org/py3k/library/optparse.html), so that leaves us
with argparse.

Rundown of what was done:
+ removed arguments:
    * -o since output can just be redirected
    * -l and -v they're not necessary
+ made the filename a positional argument
+ made the necessary changes to accomodate for the above"
ea8a8f26c74949085c3569234d1571a498e6a834,Make getting a file's contents more Pythonic,['b6b93a5d7ef88da3938d02ad37e2c1fc94760e5e'],False,['memory_profiler.py'],No,No,Make getting a file's contents more Pythonic
f2a308a6b5c8a7eb2dfb99f62bd1c34fb5acccd2,"Merge pull request #2 from octavo/master

Use argparse cmd line parser instead of optparse","['f489d396a0629800a0e49566cf5ac334b4dab736', 'ea8a8f26c74949085c3569234d1571a498e6a834']",True,[],No,No,"Merge pull request #2 from octavo/master

Use argparse cmd line parser instead of optparse"
336263ca6a01dac4c11c3c9b10024dcf3c44d408,Change old string formatting to new,['f2a308a6b5c8a7eb2dfb99f62bd1c34fb5acccd2'],False,['memory_profiler.py'],Yes,Yes,Refactor/Change: Change old string formatting to new
23f6bf680f017eaecb947f0fe4d85b3c67b91f48,README formatting,['336263ca6a01dac4c11c3c9b10024dcf3c44d408'],False,['README.rst'],No,No,README formatting
b7e2cddeca38ab506bcef1a8260ceccce9496838,Fix UserWarning that occurs in Python 3,['23f6bf680f017eaecb947f0fe4d85b3c67b91f48'],False,['memory_profiler.py'],Yes,Yes,Bug fix: Fix UserWarning that occurs in Python 3
7d006a5c0cb2224052b19192db6287bb09b28f55,"Convert str of unicode chars to str of bytes

This fixes:
  ...
  File ""memory_profiler.py"", line 31, in _get_memory
    stdout=subprocess.PIPE).communicate()[0].split('\n')
TypeError: Type str doesn't support the buffer API",['b7e2cddeca38ab506bcef1a8260ceccce9496838'],False,['memory_profiler.py'],Yes,Yes,"Bug fix: Convert str of unicode chars to str of bytes

This fixes:
  ...
  File ""memory_profiler.py"", line 31, in _get_memory
    stdout=subprocess.PIPE).communicate()[0].split('\n')
TypeError: Type str doesn't support the buffer API"
2c4b471604188d3f2ca4bbb794bd13378ab9a67d,"Alter some dictionary operations to work in Py3

dict.keys() returns a view object in py3. we can iterate over them, but
since we want to have the keys sorted as well, we have to turn the view
into a list and sort them via the sorted function.

Use in operator instead of dict.has_key() to test for key membership as
it works in py2.2+.",['7d006a5c0cb2224052b19192db6287bb09b28f55'],False,['memory_profiler.py'],No,No,"Alter some dictionary operations to work in Py3

dict.keys() returns a view object in py3. we can iterate over them, but
since we want to have the keys sorted as well, we have to turn the view
into a list and sort them via the sorted function.

Use in operator instead of dict.has_key() to test for key membership as
it works in py2.2+."
2e298df0fe544ca4a3e470d64156cf21e61c1409,"Make field names in str replacemnt fields explicit

This is so that Python 2.6 doesn't break",['2c4b471604188d3f2ca4bbb794bd13378ab9a67d'],False,['memory_profiler.py'],No,No,"Make field names in str replacemnt fields explicit

This is so that Python 2.6 doesn't break"
570a8863ba08801a55369224a22ef83ccf1a995b,"Merge pull request #4 from octavo/master

Fix Python3 Support","['f2a308a6b5c8a7eb2dfb99f62bd1c34fb5acccd2', '2e298df0fe544ca4a3e470d64156cf21e61c1409']",True,[],Yes,Yes,"Bug fix: Merge pull request #4 from octavo/master

Fix Python3 Support"
027243cfb9920d53239a05e3b15015808af2cb17,Revert back to optparse (no argparse in py2.6),['570a8863ba08801a55369224a22ef83ccf1a995b'],False,['memory_profiler.py'],No,No,Revert back to optparse (no argparse in py2.6)
88bb527e5c86a96a1203d86b70e1ff079b33f43b,Add @octavo to the credits.,['570a8863ba08801a55369224a22ef83ccf1a995b'],False,['README.rst'],No,No,Add @octavo to the credits.
374ddd202030d1dc1260e6bb5902cec37b02b330,"Merge pull request #5 from octavo/master

Revert back to optparse","['88bb527e5c86a96a1203d86b70e1ff079b33f43b', '027243cfb9920d53239a05e3b15015808af2cb17']",True,[],No,No,"Merge pull request #5 from octavo/master

Revert back to optparse"
e236aa8684e1dac8a175393754d851ef500fadf6,Remove debugging trace.,['374ddd202030d1dc1260e6bb5902cec37b02b330'],False,['memory_profiler.py'],No,No,Remove debugging trace.
21a8343ae9c7d69ceb765e3cbdd78347b0826c67,cleanup,['e236aa8684e1dac8a175393754d851ef500fadf6'],False,['memory_profiler.py'],No,No,cleanup
c05a8a78ccde397b3807adc0b2c9a1c61410ba9b,"FIX: exit gratefully from empty measurements

And added example",['21a8343ae9c7d69ceb765e3cbdd78347b0826c67'],False,"['examples/example_loop.py', 'memory_profiler.py']",Yes,Yes,"Bug fix: FIX: exit gratefully from empty measurements

And added example"
9be69790c6ed77c2550f13adc2700ec1d35418d1,FIX issue #8,['c05a8a78ccde397b3807adc0b2c9a1c61410ba9b'],False,['memory_profiler.py'],Yes,Yes,Bug fix: FIX issue #8
605fb322fabdd01cc2c7c0594a1ec508d873d29c,0.12 release,['9be69790c6ed77c2550f13adc2700ec1d35418d1'],False,['memory_profiler.py'],No,No,0.12 release
124d113eb8331703a15bd542feee0413eac1baf7,"FIX: second try at issue #8.

not perfect but makes more sense than previous solution.",['605fb322fabdd01cc2c7c0594a1ec508d873d29c'],False,"['.idea/dictionaries/fabian.xml', 'examples/example_loop.py', 'memory_profiler.py', 'test/__init__.py', 'test/test_loop.py']",Yes,Yes,"Bug fix: FIX: second try at issue #8.

not perfect but makes more sense than previous solution."
53af062ee9586e01485826f0ffd8ec836348a1fb,Add .gitignore,['124d113eb8331703a15bd542feee0413eac1baf7'],False,['.gitignore'],No,No,Add .gitignore
bb95d3e19f8fc1900493bf3f11990c6e88a9323b,rm conf file,['53af062ee9586e01485826f0ffd8ec836348a1fb'],False,['.idea/dictionaries/fabian.xml'],No,No,rm conf file
1bf6a15af1c22a881fe5b4b17e27ee17f379d341,Add test for function,['bb95d3e19f8fc1900493bf3f11990c6e88a9323b'],False,['test/test_func.py'],No,No,Add test for function
bfe4fc3f8a893c03abcef2b7730ddf7ed7a31c6f,"FIX: sys.argv on executed scripts.

fixes issue #10",['1bf6a15af1c22a881fe5b4b17e27ee17f379d341'],False,['memory_profiler.py'],Yes,Yes,"Bug fix: FIX: sys.argv on executed scripts.

fixes issue #10"
a9b5c4799d47deb89006a018c67c999e87a7cfb1,update test,['bfe4fc3f8a893c03abcef2b7730ddf7ed7a31c6f'],False,['test/test_func.py'],Yes,Yes,Update applied: update test
307f0c0c953349aec05f9c559e02ed4ac4b15e0a,"another release

![yay](http://cf2.8tracks.us/mix_covers/000/045/290/4833989106.max200.jpg)",['a9b5c4799d47deb89006a018c67c999e87a7cfb1'],False,['memory_profiler.py'],No,No,"another release

![yay](http://cf2.8tracks.us/mix_covers/000/045/290/4833989106.max200.jpg)"
c08deaa9c859a912c40e9a1213a9d4b29b411b41,Cleanup,['307f0c0c953349aec05f9c559e02ed4ac4b15e0a'],False,['memory_profiler.py'],No,No,Cleanup
ddb32317b4f81d26f397f884beadaba05adefc94,"Merge pull request #11 from octavo/cleanup

Cleanup","['307f0c0c953349aec05f9c559e02ed4ac4b15e0a', 'c08deaa9c859a912c40e9a1213a9d4b29b411b41']",True,[],No,No,"Merge pull request #11 from octavo/cleanup

Cleanup"
ec3ad5298cc1d9db9fe27920e3eb8d216c3d80da,Use cached lines,['ddb32317b4f81d26f397f884beadaba05adefc94'],False,['memory_profiler.py'],No,No,Use cached lines
40b034c359e00e904df1c7441bf9de4affe4ee8e,Add MANIFEST got .gitignore,['ec3ad5298cc1d9db9fe27920e3eb8d216c3d80da'],False,['.gitignore'],No,No,Add MANIFEST got .gitignore
c2a644b71c70ce5bab455ff14dde2a1869ea1c9f,Update README,['40b034c359e00e904df1c7441bf9de4affe4ee8e'],False,['README.rst'],Yes,Yes,Update applied: Update README
78bc76a3db5fa509ad71df83c9332bf76e73b710,New release,['c2a644b71c70ce5bab455ff14dde2a1869ea1c9f'],False,['memory_profiler.py'],No,No,New release
ad3042b32a917eb435a1bc5f594797b31deb0ee6,Better debugging when filename is not found.,['40b034c359e00e904df1c7441bf9de4affe4ee8e'],False,['memory_profiler.py'],No,No,Better debugging when filename is not found.
0091f03887ac881c4c73981d7b72e893d6f4122c,Merge branch 'master' of github.com:fabianp/memory_profiler,"['ad3042b32a917eb435a1bc5f594797b31deb0ee6', '78bc76a3db5fa509ad71df83c9332bf76e73b710']",True,[],No,No,Merge branch 'master' of github.com:fabianp/memory_profiler
5887e96c69615bba60008db19b70a04c2db46efe,"PEP8, typo fixes",['0091f03887ac881c4c73981d7b72e893d6f4122c'],False,['memory_profiler.py'],Yes,Yes,"Bug fix: PEP8, typo fixes"
249ffe7863be84e343f806297cb52a6fc967b6ee,"Added mprun magic (old style, seems to work)",['5887e96c69615bba60008db19b70a04c2db46efe'],False,['memory_profiler.py'],No,No,"Added mprun magic (old style, seems to work)"
9b1cd1ad73a2b6d98f315a474d3f76e9dea376c0,FIX: forgot print statements,['249ffe7863be84e343f806297cb52a6fc967b6ee'],False,['memory_profiler.py'],Yes,Yes,Bug fix: FIX: forgot print statements
167641e0480616e5037bea9dd42819bac8482104,"Merge pull request #13 from vene/master

[WIP] add IPython magics","['0091f03887ac881c4c73981d7b72e893d6f4122c', '9b1cd1ad73a2b6d98f315a474d3f76e9dea376c0']",True,[],No,No,"Merge pull request #13 from vene/master

[WIP] add IPython magics"
9d7fc7734e26cf94eeb3fdee9c017b71153fcefa,Add Vlad to the credits,['167641e0480616e5037bea9dd42819bac8482104'],False,['README.rst'],No,No,Add Vlad to the credits
fbb16fbc8fb5a7d0de1026737535f3cdaeab312e,Make magics more robust and flexible,['9b1cd1ad73a2b6d98f315a474d3f76e9dea376c0'],False,['memory_profiler.py'],No,No,Make magics more robust and flexible
ebc2432bfe4de1783726d0c55a9fa91a57507b5c,Updated README,['fbb16fbc8fb5a7d0de1026737535f3cdaeab312e'],False,['README.rst'],Yes,Yes,Update applied: Updated README
dc64a7c5fb631b5c3fd420f71a0ae2197bce9ddc,"Merge branch 'master' of https://github.com/vene/memory_profiler

Conflicts:
	README.rst","['9d7fc7734e26cf94eeb3fdee9c017b71153fcefa', 'ebc2432bfe4de1783726d0c55a9fa91a57507b5c']",True,[],No,No,"Merge branch 'master' of https://github.com/vene/memory_profiler

Conflicts:
	README.rst"
43a83a60b32d53f5069463b89a13add4ccd83b67,FIX: issue #16,['dc64a7c5fb631b5c3fd420f71a0ae2197bce9ddc'],False,['memory_profiler.py'],Yes,Yes,Bug fix: FIX: issue #16
1106b74fa9b74c278a06f2ec8cee0c578ed25e3b,FIX: Python3 support (issue #14),['43a83a60b32d53f5069463b89a13add4ccd83b67'],False,['memory_profiler.py'],Yes,Yes,Bug fix: FIX: Python3 support (issue #14)
f93840f8961da6e9fccfb5d307bf513618d74cda,DOC: add instructions to create IPython profile,['1106b74fa9b74c278a06f2ec8cee0c578ed25e3b'],False,['README.rst'],No,No,DOC: add instructions to create IPython profile
0fd6554879aea92c4299452b7df6b9e2b26061c2,"Merge pull request #17 from vene/master

Add instructions to create IPython profile","['1106b74fa9b74c278a06f2ec8cee0c578ed25e3b', 'f93840f8961da6e9fccfb5d307bf513618d74cda']",True,[],No,No,"Merge pull request #17 from vene/master

Add instructions to create IPython profile"
fe61948ae25e630f9bd77ca0892ae3faae2c0afc,0.15 release,['0fd6554879aea92c4299452b7df6b9e2b26061c2'],False,['memory_profiler.py'],No,No,0.15 release
1bcd779aa0744b543ae80d9c867eff7dc924d328,"Default to 1 loop in memit, add meaningful warning for functions without files in %mprun",['f93840f8961da6e9fccfb5d307bf513618d74cda'],False,['memory_profiler.py'],No,No,"Default to 1 loop in memit, add meaningful warning for functions without files in %mprun"
1cb18a7386cddd74af3bffee10090debc2da3a37,"Merge pull request #18 from vene/master

User experience and waiting time improvement","['fe61948ae25e630f9bd77ca0892ae3faae2c0afc', '1bcd779aa0744b543ae80d9c867eff7dc924d328']",True,[],Yes,Yes,"Improvement: Merge pull request #18 from vene/master

User experience and waiting time improvement"
33caba84b83d3a2838bf76de9ad4d1b604dc3779,Cleaner output,['1cb18a7386cddd74af3bffee10090debc2da3a37'],False,['memory_profiler.py'],No,No,Cleaner output
b8a12bcd4e98112dfed88db21a29c33f0f183bb9,Cleaner output,['33caba84b83d3a2838bf76de9ad4d1b604dc3779'],False,['memory_profiler.py'],No,No,Cleaner output
2866dfd757d08611b03c196cb6b21203d80dfa81,"Add memory-based debugging

Conflicts:

	memory_profiler.py",['b8a12bcd4e98112dfed88db21a29c33f0f183bb9'],False,['memory_profiler.py'],No,No,"Add memory-based debugging

Conflicts:

	memory_profiler.py"
5075c0d39acb7bea6982679687c61146cf6b59ef,Some Python3 compatibility,['2866dfd757d08611b03c196cb6b21203d80dfa81'],False,['memory_profiler.py'],No,No,Some Python3 compatibility
7c70c16e9448f81c22d2878e0f7c3ad358ecb0c2,Some more Python3 fixes,['5075c0d39acb7bea6982679687c61146cf6b59ef'],False,['memory_profiler.py'],Yes,Yes,Bug fix: Some more Python3 fixes
570351a01b4b77ae9a3ce32296d19e12151e76df,README reordering,['7c70c16e9448f81c22d2878e0f7c3ad358ecb0c2'],False,['README.rst'],No,No,README reordering
004a376ed1d063888eb352b45a762fd38a5ef71c,Python3 compat,['570351a01b4b77ae9a3ce32296d19e12151e76df'],False,['memory_profiler.py'],No,No,Python3 compat
eea7e2f8c2b5b5d4ff7ff49aa0f939377c9d6db8,MISC,['004a376ed1d063888eb352b45a762fd38a5ef71c'],False,['README.rst'],Yes,Yes,MISC
4389d64c1fcac0c022649cc0bca61467413d42b9,0.16 release,['eea7e2f8c2b5b5d4ff7ff49aa0f939377c9d6db8'],False,['memory_profiler.py'],No,No,0.16 release
e07028e5266ab3c2a69796ffa5850c4759fae4c2,Doc update,['4389d64c1fcac0c022649cc0bca61467413d42b9'],False,"['README.rst', 'memory_profiler.py']",Yes,Yes,Update applied: Doc update
c897818d18c2b68278c6df2618ddc142eaa95a1c,memory_usage working and some documentation.,['e07028e5266ab3c2a69796ffa5850c4759fae4c2'],False,"['README.rst', 'memory_profiler.py']",No,No,memory_usage working and some documentation.
9de431ebfa7702b89b5a266585f28c99bfd6bdff,Cosmetic,['c897818d18c2b68278c6df2618ddc142eaa95a1c'],False,"['README.rst', 'memory_profiler.py']",No,No,Cosmetic
062befa2b3e196df2111b9b7c049d0f011e812ff,Use memory_usage in magic_memit,['9de431ebfa7702b89b5a266585f28c99bfd6bdff'],False,"['README.rst', 'memory_profiler.py']",No,No,Use memory_usage in magic_memit
bfe2d2dfa208c3aae8c1e2ac15a6a8d12abd373b,docstring,['062befa2b3e196df2111b9b7c049d0f011e812ff'],False,['memory_profiler.py'],No,No,docstring
7c1623503b6571a70a4f26b67c91c088f5e7f87c,Update README,['bfe2d2dfa208c3aae8c1e2ac15a6a8d12abd373b'],False,['README.rst'],Yes,Yes,Update applied: Update README
9cfe0e85dcaa160bf5dd2a74b245473764bd8309,0.17 release,['7c1623503b6571a70a4f26b67c91c088f5e7f87c'],False,['memory_profiler.py'],No,No,0.17 release
42182a7ca89015ab5764dbf5d4d674facfa5cca5,Cosmetic update,['9cfe0e85dcaa160bf5dd2a74b245473764bd8309'],False,"['README.rst', 'setup.py']",Yes,Yes,Update applied: Cosmetic update
2a26da8bce4b2c72b5da3b1be263be63ffebf2d2,MISC README update,['42182a7ca89015ab5764dbf5d4d674facfa5cca5'],False,['README.rst'],Yes,Yes,Update applied: MISC README update
26d6227bfc244ae89a2c43194866b7aa3314f75c,Fix typo in README.,['2a26da8bce4b2c72b5da3b1be263be63ffebf2d2'],False,['README.rst'],Yes,Yes,Bug fix: Fix typo in README.
8685498c9950b74fb8c4ed1b066479f49a820c57,Fix spelling mistake.,['26d6227bfc244ae89a2c43194866b7aa3314f75c'],False,['README.rst'],Yes,Yes,Bug fix: Fix spelling mistake.
4dfcb5fba8b388f40872098dada2a2e9606962c6,"Merge pull request #19 from stefanv/readme

Fix typo in README.","['2a26da8bce4b2c72b5da3b1be263be63ffebf2d2', '8685498c9950b74fb8c4ed1b066479f49a820c57']",True,[],Yes,Yes,"Bug fix: Merge pull request #19 from stefanv/readme

Fix typo in README."
55763dd886b0be4cbf11a75eff46482f05adbf43,IPython casing style in title,['4dfcb5fba8b388f40872098dada2a2e9606962c6'],False,['README.rst'],No,No,IPython casing style in title
2cb64e573fcb6f80a9c875f298d080338c000f18,"Merge pull request #22 from ogrisel/patch-1

IPython casing style in title","['4dfcb5fba8b388f40872098dada2a2e9606962c6', '55763dd886b0be4cbf11a75eff46482f05adbf43']",True,[],No,No,"Merge pull request #22 from ogrisel/patch-1

IPython casing style in title"
523b4ba864729a2b81163a7c8b08a049a08e7c5a,Fix interger division error,['2cb64e573fcb6f80a9c875f298d080338c000f18'],False,['memory_profiler.py'],Yes,Yes,Bug fix: Fix interger division error
64b0a5dc43c3992b891d97e3345c8ef174a2c1aa,FIX --pdb-mmem,['523b4ba864729a2b81163a7c8b08a049a08e7c5a'],False,"['memory_profiler.py', 'test/test_with.py']",Yes,Yes,Bug fix: FIX --pdb-mmem
3be7c092629c07b8c1af07c422970daacc2345e9,FIX memory_usage() with no arguments (fixes issue #23),['64b0a5dc43c3992b891d97e3345c8ef174a2c1aa'],False,['memory_profiler.py'],Yes,Yes,Bug fix: FIX memory_usage() with no arguments (fixes issue #23)
ac686a0294479d4f8ac64caa19427d7d622efefe,Document the breakpoints feature,['3be7c092629c07b8c1af07c422970daacc2345e9'],False,['README.rst'],No,No,Document the breakpoints feature
b2c807c2dff8c167d3d3c835f3a35b2736018f45,Release 0.18,['ac686a0294479d4f8ac64caa19427d7d622efefe'],False,['memory_profiler.py'],No,No,Release 0.18
642d0bc98d47855e525996af3dc535bb31fae7e9,allow undecorated calls with memory_profiler using command line argument,['b2c807c2dff8c167d3d3c835f3a35b2736018f45'],False,"['README.rst', 'examples/example_undecorated.py', 'memory_profiler.py']",No,No,allow undecorated calls with memory_profiler using command line argument
